Constituent Number,Constituent UUID,PGSS Year,Faculty Year,TA RD Years,Received Date,Gift Count,Total Gift Amounts,Largest Gift Amount,Last Gift Date,Last Gift Amount Ever,Months_since_last_donation,last_gift_amount,total_gift_amount,gift_count,LYBUNT_indicator,SYBUNT_Indicator,Never_donator
77254387,2d54503c-bd5a-40f5-b42a-1e3000eb89af,1982,,,11/11/2015,3,403.18,200,11/15/2016,103.18,20.6,103.18,403.18,3,0,1,0
77254388,46b6e3c7-0438-4f33-8e0d-5d464f737039,1982,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254389,6563a16d-c8e5-424a-b636-a288d82f0f76,1982,,,11/8/2014,2,"1,000.00",500,11/11/2015,500,32.9,500,1000,2,0,1,0
77254425,9734bc13-e264-4b69-a680-7de14ebf3089,1982,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254420,77977bbf-7a74-4d33-a473-06dfec1cb78c,1982,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254392,c0934fa1-9eb0-4b5b-bc35-61fda8acc423,1982,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254417,5645d59b-1ac0-4aa2-b310-f2142099160a,1982,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254393,f62fc7f4-015e-4e40-96ec-25294d4b503e,1982,,,11/8/2013,5,500,100,11/8/2017,100,8.6,100,500,5,1,0,0
77254394,4bc75ebb-6f2b-4e11-a0bc-773f445d68c5,1982,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254395,3e0e9def-76f4-4d21-92dd-e21ba00085b4,1982,,,,0,0,0,,0,1000,0,0,0,0,0,1
77257749,d76b5457-5f0f-424e-a3d1-2c61e6f98b2f,1982,,,11/13/2016,1,250,250,11/13/2016,250,20.6,250,250,1,0,1,0
77254396,b9850381-9f10-4a1b-bcc7-535d0f8b538a,1982,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254397,673a6cc2-ed72-11e6-8ec5-1254aa67e287,1982,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254398,d41adbd4-b31a-4990-9171-983976628d93,1982,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254400,ee34cbc3-2d95-4fc0-a36b-90cbbc9cf456,1982,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254427,8b58a7d0-0540-4e11-98b5-c60500a82e4a,1982,,1984,11/15/2014,5,"9,100.00","4,000.00",11/17/2017,100,8.3,100,9100,5,1,0,0
77254401,3608f8b5-9ee3-44e6-bf35-aee255e74b81,1982,,,4/15/2011,2,400,200,11/11/2014,200,45.1,200,400,2,0,1,0
77254402,fbe49603-3cf3-4cdf-a2d1-871509aa1f9f,1982,,,8/25/2011,3,125,50,11/13/2017,25,8.5,25,125,3,1,0,0
77254403,803d6d33-97e6-458a-8ea1-439a43ef6ca1,1982,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254404,ed2701cd-123c-4304-8dc0-835ca9b66615,1982,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254405,0108fc74-1558-4b47-aaaa-f4602f27166d,1982,,,11/12/2014,1,100,100,11/12/2014,100,45,100,100,1,0,1,0
77254407,f1b18140-9d16-48eb-910b-027613b70ffb,1982,,,4/12/2011,6,475,100,11/17/2017,100,8.3,100,475,6,1,0,0
77254406,9d8dbdb4-c0f7-485d-87a4-092ec39aba4a,1982,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254412,ffc10e9a-3d16-4807-b876-3a2f80f19c46,1982,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254408,17846da1-3d7a-49d8-a1c6-75824036645f,1982,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254409,673a74c8-ed72-11e6-8ec5-1254aa67e287,1982,,,,0,0,0,,0,1000,0,0,0,0,0,1
77257854,624d0efc-4d6b-4353-93ea-92ead6f1558c,1982,,,11/8/2013,2,100,50,11/15/2014,50,44.9,50,100,2,0,1,0
77254410,576c6699-fa82-461e-97e3-0ee6456b12a2,1982,,,4/25/2011,2,"1,500.00","1,000.00",10/18/2013,"1,000.00",58,1000,1500,2,0,1,0
77254411,a78978d0-e0f6-495a-b127-9c77634236c9,1982,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254413,673a798d-ed72-11e6-8ec5-1254aa67e287,1982,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254415,2b08a4ca-557f-4198-98d4-ea9d6f605f5c,1982,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254416,f5d4c171-f66c-4348-8377-cfe241362b40,1982,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254418,c13fedda-9475-4fbe-9fd3-282343eef391,1982,,,11/16/2014,1,100,100,11/16/2014,100,44.9,100,100,1,0,1,0
77254419,673a7f47-ed72-11e6-8ec5-1254aa67e287,1982,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254414,9ccaf1d7-1aee-4c92-b6e5-64592d0a3a86,1982,,,11/5/2014,2,50.95,25.95,11/14/2016,25.95,20.6,25.95,50.95,2,0,1,0
77254421,c1985e91-6658-4ed3-8ad9-149cfdffbe4f,1982,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254422,0a373864-8f39-4fb1-ae16-d407d87a1cef,1982,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254423,0f355229-0af9-4566-ae2e-c2917cc568ce,1982,,,3/12/2014,4,350,100,11/16/2016,100,20.5,100,350,4,0,1,0
77254424,526dbce2-f3f4-45ed-8831-b135d919c4a5,1982,,,11/14/2014,1,100,100,11/14/2014,100,45,100,100,1,0,1,0
77254391,ff0f143a-cd4f-400d-9085-428d39b5e42c,1982,,,4/13/2011,6,"6,000.00","1,000.00",11/21/2017,"1,000.00",8.2,1000,6000,6,1,0,0
77254426,e7d7483c-c70f-4dea-8bdc-32c2731d8b7d,1982,,,11/16/2014,2,75,50,11/16/2014,25,44.9,25,75,2,0,1,0
77254428,98ee5fba-23ff-4c78-8759-04dfc17117c4,1982,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254429,fde016c1-565e-4f80-a30d-7ce158d7db55,1982,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254430,755d10e6-66a6-426f-ad21-fa2d6cd0add7,1982,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254431,548d6672-1694-4497-8cec-936239249534,1982,,,4/18/2011,1,334,334,4/18/2011,334,88.5,334,334,1,0,1,0
77254432,e0d049d9-e27f-449e-ab63-6becc8c31724,1982,,,7/2/2013,6,"1,981.16","1,000.00",11/17/2017,206.16,8.3,206.16,1981.16,6,1,0,0
77254386,5c3ced8a-32dc-48fe-9f96-7b5ebfab8b90,1982,,,11/13/2014,1,25,25,11/13/2014,25,45,25,25,1,0,1,0
